SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
5483,10174,1,Star Wars,Ultimate Collector Series,2006,Imperial AT-ST,,1068,58.69,79.99,,,http://images.brickset.com/sets/images/10174-1.jpg,No,No,0
6380,7676,1,Star Wars,The Clone Wars,2008,Republic Attack Gunship,7,1034,84.99,119.99,,,http://images.brickset.com/sets/images/7676-1.jpg,No,No,0
8591,7964,1,Star Wars,The Clone Wars,2011,Republic Frigate,5,1015,102.99,119.99,154.99,129.99,http://images.brickset.com/sets/images/7964-1.jpg,No,No,0
24226,75104,1,Star Wars,The Force Awakens,2015,Kylo Ren's Command Shuttle,6,1005,99.99,119.99,149.99,119.99,http://images.brickset.com/sets/images/75104-1.jpg,No,No,0
2163,4504,1,Star Wars,Episode V,2004,Millennium Falcon,5,985,99.99,100,,,http://images.brickset.com/sets/images/4504-1.jpg,No,No,0
23680,75058,1,Star Wars,Episode I,2014,MTT,12,954,89.99,89.99,109.99,99.99,http://images.brickset.com/sets/images/75058-1.jpg,No,No,0
24222,75094,1,Star Wars,Episode VI,2015, Imperial Shuttle Tydirium,5,937,79.99,99.99,119.99,99.99,http://images.brickset.com/sets/images/75094-1.jpg,No,No,0
23371,75053,1,Star Wars,Rebels,2014,The Ghost,4,929,69.99,89.99,109.99,99.99,http://images.brickset.com/sets/images/75053-1.jpg,No,No,0
10281,75025,1,Star Wars,The Old Republic,2013,Jedi Defender-class Cruiser,4,927,99.99,89.99,119.99,99.99,http://images.brickset.com/sets/images/75025-1.jpg,No,No,0
5934,7665,1,Star Wars,Episode I,2007,Republic Cruiser,5,919,69.99,89.99,,,http://images.brickset.com/sets/images/7665-1.jpg,No,No,0
3826,7171,1,Star Wars,Episode I,1999,Mos Espa Podrace,10,896,,90,,,http://images.brickset.com/sets/images/7171-1.jpg,No,No,0
6939,8038,1,Star Wars,Episode VI,2009,The Battle of Endor,12,890,84.99,99.99,129.99,99.99,http://images.brickset.com/sets/images/8038-1.jpg,No,No,0
6420,7680,1,Star Wars,The Clone Wars,2008,The Twilight,4,882,68.49,99.99,,,http://images.brickset.com/sets/images/7680-1.jpg,No,No,0
10227,75020,1,Star Wars,Episode VI,2013,Jabba's Sail Barge,6,850,99.99,119.99,149.99,119.99,http://images.brickset.com/sets/images/75020-1.jpg,No,No,0
